s39,s40,s41,v92,v93,v94,v95,v96,v97,v98,v99,oh53,oh54,oh55,oh56,oh57,v100,v101,v102,v103,v104,v105,v106,v107,oh58,oh59,oh60,oh61,oh62
0.80932,0.71838,0.25818,0.0063,0.01339,0.16584,0.23249,0.01494,0.1244,0.30682,0.13902,0.20447,0.19531,0.43396,0.17944,-0.07996,0.00713,0.22354,0.19087,0.10671,0.13454,0.32213,0.07249,0.06924,0.08178,0.07141,0.34607,0.19776,-0.19349
0.75073,0.59692,0.34546,0.06129,0.06541,0.22353,0.29023,0.09947,0.11933,0.39719,0.1244,0.18738,0.27649,0.59815,0.354,-0.06714,0.02896,0.16534,0.22268,0.04898,0.11634,0.30828,0.12827,0.00948,0.11474,0.07263,0.39307,0.13062,-0.1233
0.60058,0.46509,0.23071,0.03904,0.04997,0.15991,0.25414,0.00146,0.08353,0.31702,0.17481,0.18799,0.13122,0.36133,0.19043,-0.16968,0.04197,0.21891,0.19468,0.10001,0.15662,0.32213,0.07905,0.03426,0.02075,-0.04028,0.23987,0.07813,-0.29969
0.57007,0.44006,0.24353,0.03316,0.01854,0.19681,0.25208,0.01567,0.12768,0.34727,0.16944,0.15442,0.1062,0.38941,0.12817,-0.19226,0.00084,0.20963,0.24813,0.07476,0.12201,0.36147,0.13126,0.05211,-0.06409,-0.06531,0.29175,0.0232,-0.31372
0.68725,0.53345,0.20264,0.01469,0.01803,0.18493,0.23713,0.02551,0.14051,0.3265,0.14766,0.14343,0.12207,0.38819,0.1007,-0.15869,0.02224,0.222,0.21505,0.06753,0.14438,0.3418,0.11217,0.02843,-0.00489,-0.03723,0.27222,0.04273,-0.3003
0.35584,0.31494,0.01099,0.04534,0.08808,0.1968,0.29177,0.02296,0.0874,0.37532,0.20107,-0.12146,-0.18738,0.09582,-0.083,-0.53284,0.07556,0.25186,0.24134,0.12011,0.19957,0.38552,0.10023,0.01931,-0.25635,-0.36621,-0.01892,-0.224,-0.66467
0.77088,0.6311,0.55298,0.00336,0.04944,0.20614,0.20105,0.03206,0.17362,0.31921,0.11395,0.33996,0.34485,0.64148,0.28626,0.10681,0.0,0.16791,0.20699,0.00774,0.09725,0.29661,0.1411,0.00547,0.18005,0.18005,0.47791,0.18921,-0.01892
0.76843,0.63171,0.55176,0.01259,0.03914,0.18281,0.22372,0.01676,0.15124,0.31519,0.12052,0.31921,0.33752,0.60058,0.29114,0.07263,0.01595,0.1504,0.20614,0.05361,0.09844,0.28349,0.176,0.05174,0.17944,0.15625,0.45288,0.09278,-0.02197
0.78308,0.63599,0.56275,0.01847,0.0448,0.22013,0.20929,0.01566,0.18077,0.33706,0.10799,0.34423,0.37109,0.68786,0.318,0.12329,0.01469,0.12361,0.23668,0.05103,0.08203,0.29078,0.19599,0.04882,0.15991,0.13855,0.47913,0.07813,-0.00793
0.75501,0.60608,0.48584,0.0042,0.03142,0.18662,0.23662,0.02587,0.14945,0.32759,0.13991,0.35034,0.34424,0.61279,0.30701,0.06408,0.03568,0.20448,0.22607,0.01546,0.09307,0.33888,0.15005,0.0419,0.13855,0.19043,0.51575,0.20874,-0.05188
